ROE,ROA,Leverage,Size,Growth,Y,Z1,Z21,Z22,X,ROE Norm,ROA Norm,Leverage Norm,Size Norm,Growt Norm,Y Norm,Z1 Norm,X Norm
0.0739,0.0536,0.3791,30.9216,0.0692,1.1223,0.0465,3,1,0.65,-0.0320763252517218,0.0476488579931746,-0.00773683903537219,0.938978197337509,-0.0511973143191591,-0.253116270876041,-0.0799949877496386,0.731288402760532
0.0128,0.0090,0.4213,30.9259,0.0044,1.3364,0.0837,3,1,0.65,-0.0730651629900308,-0.0887391837212433,-0.00569303753978203,0.941231421706083,-0.0709856794434519,-0.159263176786528,-0.0722242243455716,0.696153468897674
0.0464,0.0322,0.4434,30.9554,0.0299,1.1610,0.1532,3,1,0.65,-0.0504988030357923,-0.0178651822554533,-0.0046256329216446,0.956501549150923,-0.0631802687555364,-0.236136962514275,-0.0577359436719501,0.704383050849251
0.0977,0.0680,0.4359,31.0455,0.0943,0.9050,0.2463,3,1,0.73,-0.016105252641252,0.0919068234720279,-0.00498579121456716,1.00316142297151,-0.0435323765935458,-0.348367867255098,-0.0383152009869569,1.11138635674433
0.0806,0.0613,0.3150,31.0069,-0.0379,0.7676,0.1731,4,2,0.72,-0.0275764856179899,0.0712633156985005,-0.0108398157257399,0.983177653744178,-0.0838756006146926,-0.408621834237827,-0.0535900485818474,1.07549332139471
-1.0527,-0.0796,12.2191,26.6866,-0.2588,2.4526,0.2389,1,1,0.18,-0.78866727214603,-0.360290133157585,0.565420230122538,-1.254678170671,-0.15133316012019,0.330094256021473,-0.0398686907177341,-1.73213792608747
0.2643,0.0769,2.4377,30.1618,-0.1106,1.2158,0.0000,3,1,0.67,0.0957997144889627,0.119043541405775,0.091916152930684,0.545435726934185,-0.106103920018971,-0.212143222606208,-0.089686384590486,0.817263035473981
0.0159,0.0046,2.4839,30.1054,-0.0548,1.0677,0.0360,3,1,0.84,-0.0710234447084568,-0.102430056087366,0.0941535879170927,0.516242226839506,-0.0890547776595692,-0.277057402547511,-0.0821771746484869,1.68656076253704
-0.2333,-0.0456,4.1143,30.0879,-0.0174,0.9838,0.5207,3,1,0.68,-0.238390614369059,-0.256123115445765,0.173080051025928,0.507156811799397,-0.0776276075523001,-0.313839327968429,0.0188937655814038,0.876087638018529
0.5217,0.1796,1.9048,30.3252,0.2678,0.9200,0.5569,4,3,0.99,0.268687582924084,0.433657950678288,0.0661227197024677,0.630058546495354,0.0094564677948381,-0.341796221700157,0.0264523974411532,2.48483298876854
0.5537,0.1725,2.2105,31.0711,1.1083,0.9781,0.3350,4,3,0.92,0.290165921951957,0.411789308912266,0.0809211592382778,1.01641659804999,0.266140268801385,-0.316351371265948,-0.0198290158383303,2.12835497170574
0.2186,0.1751,0.2483,29.4094,0.1126,4.5298,0.2099,3,1,0.67,0.0651134946583331,0.41990582161254,-0.0140667178502316,0.155705608565916,-0.037940941941913,1.24071652740175,-0.0459145326899184,0.817263035473981
0.1400,0.1009,0.3877,29.6116,0.2241,4.3379,0.1872,1,1,0.64,0.0123646282653006,0.192674094354677,-0.00731810661147698,0.260457232486191,-0.00387319482360909,1.15660472512217,-0.0506597260788147,0.68067024109653
0.1304,0.1000,0.3042,29.6037,-0.0079,3.2865,0.1653,4,2,0.64,0.00588351595701487,0.189825657822128,-0.011361173899769,0.256349630361444,-0.0747295892648073,0.695651356056971,-0.055211607672938,0.65265288358562
0.1135,0.0929,0.2217,29.6119,0.0083,1.3549,-0.6662,4,2,0.65,-0.00544667727000904,0.168232671204417,-0.0153577691502645,0.260612627270231,-0.0697916592638842,-0.151170276389983,-0.228615957087757,0.718502189650397
-0.6215,-0.2797,1.2216,28.5388,-0.1887,1.6237,-0.6567,4,2,0.38,-0.499065652733302,-0.973163412902813,0.0330481831357457,-0.295265594191877,-0.129932409689474,-0.0332927542543879,-0.226624835993723,-0.675353015731832
-0.6731,-0.2139,2.1461,28.3782,-0.1483,1.6248,0.3619,4,3,0.45,-0.533721134091597,-0.771628871137516,0.0778017237011905,-0.378438062435355,-0.117616595407642,-0.0328148961052961,-0.0142268426959549,-0.328322418051732
